keywords,counts,years
"exploratory behaviour,styan's bul...",1,2001
lanyu scops owl,1,2001
"lanyu scops owl,secondary cavity-...",1,2001
"lanyu scops owl,secondary cavity-...",1,2001
vegetationanalysis,1,2001
"vegetationanalysis,floristiccompo...",1,2001
"vegetationanalysis,floristiccompo...",1,2001
"vegetationanalysis,floristiccompo...",1,2001
"vegetationanalysis,floristiccompo...",1,2001
探索行為,1,2001
"探索行為,烏頭翁",1,2001
"探索行為,烏頭翁,白頭翁",1,2001
"探索行為,烏頭翁,白頭翁,新奇物品。",1,2001
植群分析,1,2001
"植群分析,植物組成",1,2001
"植群分析,植物組成,低海拔森林",1,2001
"植群分析,植物組成,低海拔森林,東北季風",1,2001
"植群分析,植物組成,低海拔森林,東北季風,指標種",1,2001
生物多樣性,1,2001
"生物多樣性,底棲性蜘蛛",1,2001
"生物多樣性,底棲性蜘蛛,高位珊瑚礁森林",1,2001
"生物多樣性,底棲性蜘蛛,高位珊瑚礁森林,墾丁國家公園",1,2001
"生物多樣性,底棲性蜘蛛,高位珊瑚礁森林,墾丁國家公園,臺灣",1,2001
蘭嶼角鴞,1,2001
"蘭嶼角鴞,樹洞營巢性鳥類",1,2001
"蘭嶼角鴞,樹洞營巢性鳥類,次級洞巢鳥類",1,2001
"蘭嶼角鴞,樹洞營巢性鳥類,次級洞巢鳥類,巢洞選擇。",1,2001
"information management,informatio...",1,2002
"information management,informatio...",1,2002
"information management,informatio...",1,2002
"information management,informatio...",1,2002
"information management,informatio...",1,2002
"information management,informatio...",1,2002
matsu,1,2002
"matsu,islands",1,2002
"matsu,islands,plant resource inve...",1,2002
"matsu,islands,plant resource inve...",1,2002
pbx,1,2002
"pbx,call center",1,2002
"pbx,call center,computer telephon...",1,2002
"pbx,call center,computer telephon...",1,2002
"pbx,call center,computer telephon...",1,2002
restorative justice,1,2002
修復性司法,1,2002
"修復性司法,刑事簡易程序",1,2002
蕨類,1,2002
"蕨類,伊藤氏原始觀音座蓮",1,2002
"蕨類,伊藤氏原始觀音座蓮,天然雜交種",1,2002
"蕨類,伊藤氏原始觀音座蓮,天然雜交種,逢機擴大多形性核酸",1,2002
資訊管理,1,2002
"資訊管理,資訊資源管理",1,2002
"資訊管理,資訊資源管理,知識管理",1,2002
"資訊管理,資訊資源管理,知識管理,電子商務",1,2002
"資訊管理,資訊資源管理,知識管理,電子商務,資訊需求",1,2002
"資訊管理,資訊資源管理,知識管理,電子商務,資訊需求,資訊尋求行為",1,2002
"資訊管理,資訊資源管理,知識管理,電子商務,資訊需求,資訊尋求行為...",1,2002
電子化調查系統,1,2002
"電子化調查系統,語音傳真回覆服務",1,2002
"電子化調查系統,語音傳真回覆服務,電腦電話整合",1,2002
"電子化調查系統,語音傳真回覆服務,電腦電話整合,交換機",1,2002
"電子化調查系統,語音傳真回覆服務,電腦電話整合,交換機,客服中心",1,2002
馬祖,1,2002
"馬祖,島嶼",1,2002
"馬祖,島嶼,植物資源調查",1,2002
"馬祖,島嶼,植物資源調查,植物地理",1,2002
"algae,biomass,disturbance,varicor...",1,2003
"algae,biomass,disturbance,varicor...",1,2003
anguilla japonica,1,2003
"anguilla japonica,induced maturation",1,2003
"anguilla japonica,induced maturat...",1,2003
"anguilla japonica,induced maturat...",1,2003
"anguilla japonica,induced maturat...",1,2003
"anguilla japonica,induced maturat...",1,2003
"anguilla japonica,induced maturat...",1,2003
arabidopsis,1,2003
"arabidopsis,rnai",1,2003
"arabidopsis,rnai,agrobacterium",1,2003
"arabidopsis,rnai,agrobacterium,fl...",1,2003
attention,1,2003
"attention,object-based",1,2003
"attention,object-based,space-based",1,2003
"attention,object-based,space-base...",1,2003
"attention,object-based,space-base...",1,2003
"attention,object-based,space-base...",1,2003
"attention,object-based,space-base...",1,2003
business mobilization,1,2003
"business mobilization,strategy im...",1,2003
"business mobilization,strategy im...",1,2003
"business mobilization,strategy im...",1,2003
case shifting,1,2003
"case shifting,patient dumping",1,2003
"case shifting,patient dumping,med...",1,2003
"case shifting,patient dumping,med...",1,2003
d-wave,1,2003
"d-wave,crossover",1,2003
"d-wave,crossover,finite temperature",1,2003
"d-wave,crossover,finite temperatu...",1,2003
d波,1,2003
"d波,bcs-bec跨越",1,2003
eating behavior,1,2003
"eating behavior,child",1,2003
"eating behavior,child,parents",1,2003
gillnets,1,2003
"gillnets,trammel nets",1,2003
"gillnets,trammel nets,mesh size",1,2003
"gillnets,trammel nets,mesh size,s...",1,2003
"gillnets,trammel nets,mesh size,s...",1,2003
ideal marketing,1,2003
"ideal marketing,rotary international",1,2003
"ideal marketing,rotary internatio...",1,2003
impedance tube,1,2003
leaf life span,1,2003
"leaf life span,specific leaf area",1,2003
"leaf life span,specific leaf area...",1,2003
"leaf life span,specific leaf area...",1,2003
"leaf life span,specific leaf area...",1,2003
"leaf life span,specific leaf area...",1,2003
neuromuscular scoliosis,1,2003
"neuromuscular scoliosis,strap ten...",1,2003
phabsim,1,2003
"phabsim,luciola sp",1,2003
"phabsim,luciola sp,ecological wor...",1,2003
"phabsim,luciola sp,ecological wor...",1,2003
pricing american-style,1,2003
"pricing american-style,options",1,2003
"pricing american-style,options,le...",1,2003
"pricing american-style,options,le...",1,2003
sea urchin,1,2003
"sea urchin,community structure",1,2003
"sea urchin,community structure,bi...",1,2003
"sea urchin,community structure,bi...",1,2003
"sea urchin,community structure,bi...",1,2003
"sea urchin,community structure,bi...",1,2003
taiwan hwamei,1,2003
"taiwan hwamei,chinese hwamei",1,2003
"taiwan hwamei,chinese hwamei,bird...",1,2003
"taiwan hwamei,chinese hwamei,bird...",1,2003
"taiwan hwamei,chinese hwamei,bird...",1,2003
vigilance behavior,1,2003
"vigilance behavior,group size",1,2003
"vigilance behavior,group size,gro...",1,2003
"vigilance behavior,group size,gro...",1,2003
"vigilance behavior,group size,gro...",1,2003
兒童,1,2003
"兒童,飲食行為",1,2003
"兒童,飲食行為,父母",1,2003
刺網,1,2003
"刺網,選擇性",1,2003
"刺網,選擇性,單層網",1,2003
"刺網,選擇性,單層網,三層網",1,2003
"刺網,選擇性,單層網,三層網,網目",1,2003
"刺網,選擇性,單層網,三層網,網目,魚種選擇性",1,2003
"刺網,選擇性,單層網,三層網,網目,魚種選擇性,大小選擇性",1,2003
台灣畫眉,1,2003
"台灣畫眉,大陸畫眉",1,2003
"台灣畫眉,大陸畫眉,鳴唱聲",1,2003
"台灣畫眉,大陸畫眉,鳴唱聲,地理變異",1,2003
"台灣畫眉,大陸畫眉,鳴唱聲,地理變異,層次性結構。",1,2003
平衡計分卡,1,2003
"平衡計分卡,企業行動化",1,2003
"平衡計分卡,企業行動化,策略執行",1,2003
"平衡計分卡,企業行動化,策略執行,m 化",1,2003
日本鰻,1,2003
"日本鰻,人工催熟",1,2003
"日本鰻,人工催熟,初期發育",1,2003
"barometric,efficiency",1,2004
"barometric,efficiency,storativity",1,2004
baseball,1,2004
"baseball,fun taiwan",1,2004
"baseball,fun taiwan,taiwan baseball",1,2004
"baseball,fun taiwan,taiwan baseba...",1,2004
business model,1,2004
"business model,information servic...",1,2004
"business model,information servic...",1,2004
chemical composition,1,2004
"chemical composition,black tea",1,2004
"chemical composition,black tea,th...",1,2004
chinese herbal pharmaceutical ind...,1,2004
chinese herbal pharmaceutical ind...,1,2004
chinese herbal pharmaceutical ind...,1,2004
chromium,1,2004
"chromium,substance flow",1,2004
"chromium,substance flow,risk",1,2004
collaboration,1,2004
"collaboration,virtual enterprise",1,2004
"collaboration,virtual enterprise,...",1,2004
"collaboration,virtual enterprise,...",1,2004
"collaboration,virtual enterprise,...",1,2004
"collaboration,virtual enterprise,...",1,2004
"collaboration,virtual enterprise,...",1,2004
"collaboration,virtual enterprise,...",1,2004
"collaboration,virtual enterprise,...",1,2004
"collaboration,virtual enterprise,...",1,2004
"collaboration,virtual enterprise,...",1,2004
"collaboration,virtual enterprise,...",1,2004
college library,1,2004
color reduction,1,2004
"color reduction,palette",1,2004
"color reduction,palette,image tra...",1,2004
"color reduction,palette,image tra...",1,2004
competitive advantages,1,2004
"competitive advantages,environmen...",1,2004
"competitive advantages,environmen...",1,2004
competitive learning neural network,1,2004
competitive learning neural netwo...,1,2004
competitive learning neural netwo...,1,2004
competitive learning neural netwo...,1,2004
compressor,1,2004
"compressor,envelope",1,2004
"compressor,envelope,penalty function",1,2004
"compressor,envelope,penalty funct...",1,2004
conjugated molecules,1,2004
"conjugated molecules,guanine nucl...",1,2004
"conjugated molecules,guanine nucl...",1,2004
"conjugated molecules,guanine nucl...",1,2004
corporate,1,2004
"corporate,performance",1,2004
customer attribution,1,2004
"customer attribution,service reco...",1,2004
"customer attribution,service reco...",1,2004
"customer attribution,service reco...",1,2004
"customer attribution,service reco...",1,2004
"customer attribution,service reco...",1,2004
differentiation,1,2004
"differentiation,competitive advan...",1,2004
"differentiation,competitive advan...",1,2004
"differentiation,competitive advan...",1,2004
distributed hash table,1,2004
"distributed hash table,peer-to-pe...",1,2004
"distributed hash table,peer-to-pe...",1,2004
"distributed hash table,peer-to-pe...",1,2004
double quantum,1,2004
"double quantum,magnetic resonance...",1,2004
"double quantum,magnetic resonance...",1,2004
"double quantum,magnetic resonance...",1,2004
e-learning,1,2004
"e-learning,adaptive learning",1,2004
"e-learning,adaptive learning,adap...",1,2004
"e-learning,adaptive learning,adap...",1,2004
emergency department,1,2004
"emergency department,data mining",1,2004
"emergency department,data mining,...",1,2004
employee stock options,1,2004
"employee stock options,informatio...",1,2004
"employee stock options,informatio...",1,2004
end cap,1,2004
"end cap,reactively funtional group",1,2004
"end cap,reactively funtional grou...",1,2004
exchange-rate risk exposure,1,2004
"exchange-rate risk exposure,the d...",1,2004
feng-shui,1,2004
"feng-shui,living house feng-shui",1,2004
"feng-shui,living house feng-shui,...",1,2004
"feng-shui,living house feng-shui,...",1,2004
"feng-shui,living house feng-shui,...",1,2004
fiber,1,2004
"fiber,power modulated",1,2004
"fiber,power modulated,fiber grati...",1,2004
financial supervision,1,2004
"financial supervision,financial s...",1,2004
"financial supervision,financial s...",1,2004
"financial supervision,financial s...",1,2004
fire accident,1,2004
"fire accident,pheonics",1,2004
"fire accident,pheonics,mass rapid...",1,2004
ganoderma lucidum,5,2005
ofdm,5,2005
peer-to-peer,5,2005
photonic crystal,5,2005
supply chain management,5,2005
供應鏈管理,5,2005
奈米碳管,5,2005
數位電視,5,2005
正交分頻多工,5,2005
氣喘,5,2005
質子交換膜燃料電池,5,2005
dengue virus,4,2005
droplet,4,2005
globalization,4,2005
gps,4,2005
nanoparticle,4,2005
sars,4,2005
vortex,4,2005
二氧化鈦,4,2005
嚴重急性呼吸道症候群,4,2005
奈米粒子,4,2005
有限元素法,4,2005
無線區域網路,4,2005
登革病毒,4,2005
盈餘管理,4,2005
綠竹,4,2005
超音波,4,2005
靈芝,4,2005
非線性光學,4,2005
頻率合成器,4,2005
3g,3,2005
antrodia cinnamomea,3,2005
apoptosis,3,2005
bitter gourd,3,2005
budding yeast,3,2005
cdr,3,2005
chitosan,3,2005
cmos,3,2005
c型肝炎,3,2005
dielectrophoresis,3,2005
disposition effect,3,2005
dvb-h,3,2005
earnings management,3,2005
eb病毒,3,2005
ethernet,3,2005
fdtd,3,2005
fin219,3,2005
frequency synthesizer,3,2005
gis,3,2005
inas,3,2005
information asymmetry,3,2005
ingan,3,2005
ldpc,3,2005
mass spectrometry,3,2005
microarray,3,2005
mimo,3,2005
montmorillonite,3,2005
national health insurance,3,2005
null,3,2005
oled,3,2005
power amplifier,3,2005
scc,3,2005
scem,3,2005
schizophrenia,3,2005
securities firms,3,2005
securitization,3,2005
slit dam,3,2005
software industry,3,2005
starch phosphorylase,3,2005
surface plasmon,3,2005
tio2,3,2005
ultrasonic motor,3,2005
verification,3,2005
wlan,3,2005
wto,3,2005
zebrafish,3,2005
zno,3,2005
中國大陸,3,2005
企業資源規劃,3,2005
全民健保,3,2005
全球化,3,2005
功率放大器,3,2005
反應蒸餾,3,2005
嗜熱菌,3,2005
大腸桿菌,3,2005
少年,3,2005
微機電系統,3,2005
斑馬魚,3,2005
智慧卡,3,2005
梳子壩,3,2005
氧化鋅,3,2005
氮化銦鎵,3,2005
澱粉磷解脢,3,2005
無線感測網路,3,2005
無線網路,3,2005
牛樟芝,3,2005
犬,3,2005
甄選面談,3,2005
糖尿病,3,2005
系統識別,3,2005
感測器,5,2006
斑馬魚,5,2006
氧化鋅,5,2006
無線網狀網路,5,2006
發光二極體,5,2006
靈芝,5,2006
antrodia cinnamomea,4,2006
balanced scorecard,4,2006
corporate governance,4,2006
data mining,4,2006
gps,4,2006
helicobacter pylori,4,2006
mimo,4,2006
nanoparticle,4,2006
oled,4,2006
reactive distillation,4,2006
sige,4,2006
surface plasmon resonance,4,2006
wireless mesh network,4,2006
不動產證券化,4,2006
入侵紅火蟻,4,2006
半導體供應鏈,4,2006
古蹟保存,4,2006
壓電,4,2006
平衡計分卡,4,2006
文心蘭,4,2006
有限元素法,4,2006
無線射頻辨識,4,2006
糖尿病,4,2006
肝細胞癌,4,2006
表面聲波,4,2006
資料探勘,4,2006
輕軌運輸系統,4,2006
選擇權,4,2006
金融監理,4,2006
鈮酸鋰,4,2006
阿拉伯芥,4,2006
類神經網路,4,2006
顧客關係管理,4,2006
a/d converter,3,2006
adaptive,3,2006
arsenic,3,2006
b型肝炎病毒,3,2006
cancer,3,2006
chromium,3,2006
cinnamomum osmophloeum,3,2006
cognitive radio,3,2006
customer relationship management,3,2006
"data mining,association rules",3,2006
depression,3,2006
diabetes mellitus,3,2006
dna,3,2006
e-learning,3,2006
ebv,3,2006
ecl,3,2006
game theory,3,2006
gan,3,2006
ganoderma,3,2006
ganoderma lucidum,3,2006
garch,3,2006
hcv,3,2006
"helicobacter pylori,fucosyltransf...",3,2006
hepatocellular carcinoma,3,2006
hifu,3,2006
historic preservation,3,2006
knowledge management,3,2006
led,3,2006
light rail transit,3,2006
ltcc,3,2006
m&a,3,2006
mems,3,2006
neural network,3,2006
non-small cell lung cancer,3,2006
p2p,3,2006
phalaenopsis,3,2006
photonic crystals,3,2006
piezoelectric,3,2006
pll,3,2006
protein,3,2006
quantum dot,3,2006
sars,3,2006
semiconductor manufacturing,3,2006
semiconductor supply chain,3,2006
sensor,3,2006
sensor network,3,2006
sensor networks,3,2006
si,3,2006
supply chain management,3,2006
surface acoustic wave,3,2006
var,3,2006
verification,3,2006
wireless sensor network,3,2006
zno,3,2006
"不動產證券化,不動產投資信託",3,2006
乙醇,3,2006
低溫共燒陶瓷,3,2006
供應鏈管理,3,2006
個案研究,3,2006
功率放大器,3,2006
嚴重急性呼吸道症候群,3,2006
乳癌,6,2007
併購,6,2007
半導體,6,2007
水稻,6,2007
diversification,5,2007
led,5,2007
network-on-chip,5,2007
peer-to-peer,5,2007
rfid,5,2007
semiconductor,5,2007
surface plasmon,5,2007
液晶,5,2007
濾波器,5,2007
無線網路,5,2007
砷,5,2007
蝴蝶蘭,5,2007
類神經網路,5,2007
arsenic,4,2007
blog,4,2007
breast cancer,4,2007
corporate governance,4,2007
credit risk,4,2007
data mining,4,2007
depression,4,2007
diabetes,4,2007
earnings management,4,2007
filter,4,2007
genetic algorithm,4,2007
mesoporous,4,2007
mutual funds,4,2007
obesity,4,2007
photodynamic therapy,4,2007
rice,4,2007
tio2,4,2007
web 2.0,4,2007
wto,4,2007
zno,4,2007
二氧化鈦,4,2007
公司治理,4,2007
多角化,4,2007
封包分類,4,2007
射頻辨識,4,2007
晶片網路,4,2007
氧化鋅,4,2007
無線感測網路,4,2007
盈餘管理,4,2007
矽,4,2007
肥胖,4,2007
資料探勘,4,2007
ammonia,3,2007
atomic layer deposition,3,2007
avian influenza,3,2007
backlight,3,2007
callosobruchus maculatus,3,2007
capsule endoscope,3,2007
carbazole,3,2007
chitosan,3,2007
cognitive radio,3,2007
c型肝炎病毒,3,2007
dea,3,2007
debris flow,3,2007
earthquake,3,2007
ebv,3,2007
eb病毒,3,2007
exchange rate,3,2007
face detection,3,2007
fdtd,3,2007
ingan,3,2007
ldpc,3,2007
liquid crystal,3,2007
lysozyme,3,2007
mems,3,2007
merger,3,2007
metal string,3,2007
microarray,3,2007
mimo,3,2007
nanoparticle,3,2007
non-profit organization,3,2007
oled,3,2007
order imbalance,3,2007
packet classification,3,2007
"packet classification,bit vector",3,2007
particulate matter,3,2007
phytoplankton,3,2007
schizophrenia,3,2007
social network,3,2007
supply chain management,3,2007
system identification,3,2007
transfer pricing,3,2007
vco,3,2007
voip,3,2007
世界貿易組織,3,2007
中小企業,3,2007
人臉偵測,3,2007
供應鏈管理,3,2007
光動力治療,3,2007
光柵,3,2007
全球衛星定位系統,3,2007
勞退新制,3,2007
反應蒸餾,3,2007
資料探勘,6,2008
breast cancer,5,2008
chitosan,5,2008
corporate governance,5,2008
diabetes,5,2008
droplet collision,5,2008
lcd,5,2008
mems,5,2008
ofdm,5,2008
order imbalance,5,2008
photonic crystal,5,2008
wimax,5,2008
zebrafish,5,2008
乳癌,5,2008
併購,5,2008
公司治理,5,2008
幾丁聚醣,5,2008
水稻,5,2008
液滴碰撞,5,2008
無線網路,5,2008
質子交換膜燃料電池,5,2008
b型肝炎病毒,4,2008
earthquake,4,2008
helicobacter pylori,4,2008
low power,4,2008
microrna,4,2008
oral cancer,4,2008
prostate cancer,4,2008
quantum dots,4,2008
rfid,4,2008
rice,4,2008
taiwan,4,2008
功率放大器,4,2008
口腔癌,4,2008
台灣,4,2008
微機電,4,2008
發光二極體,4,2008
糖尿病,4,2008
量子點,4,2008
阿拉伯芥,4,2008
高科技廠房,4,2008
點對點網路,4,2008
arabidopsis,3,2008
arsenic,3,2008
banana,3,2008
bias correction,3,2008
carbon nanocoil,3,2008
cervical cancer,3,2008
climate change,3,2008
cmos,3,2008
cointegration,3,2008
cryptococcus neoformans,3,2008
c型肝炎病毒,3,2008
dft,3,2008
digital content,3,2008
dog,3,2008
dye-sensitized solar cell,3,2008
embedded system,3,2008
financial holding company,3,2008
ganoderma lucidum,3,2008
gps,3,2008
hcv,3,2008
hepatitis b virus,3,2008
influenza virus,3,2008
klebsiella pneumoniae,3,2008
llc,3,2008
lung cancer,3,2008
merger and acquisition,3,2008
mimo,3,2008
null,3,2008
ontology,3,2008
p2p network,3,2008
peer-to-peer,3,2008
ppgis,3,2008
private equity,3,2008
proton exchange membrane fuel cell,3,2008
reactive distillation,3,2008
schizophrenia,3,2008
snake robot,3,2008
sphingosine 1-phosphate,3,2008
stroke,3,2008
ultrasound,3,2008
upnp,3,2008
value chain,3,2008
voip,3,2008
wealth management,3,2008
web 2.0,3,2008
wireless network,3,2008
中風,3,2008
二氧化鈦,3,2008
克雷伯氏肺炎桿菌,3,2008
公共工程,3,2008
公眾參與式地理資訊系統,3,2008
共整合,3,2008
原子層沉積技術,3,2008
可測試設計,3,2008
員工分紅,3,2008
員工分紅費用化,3,2008
地震,3,2008
基因演算法,3,2008
data mining,5,2009
eb病毒,5,2009
microrna,5,2009
ofdm,5,2009
system identification,5,2009
wimax,5,2009
zno,5,2009
公司治理,5,2009
燃料電池,5,2009
糖尿病,5,2009
系統識別,5,2009
類比數位轉換器,5,2009
asthma,4,2009
breast cancer,4,2009
corporate governance,4,2009
ebv,4,2009
epstein-barr virus,4,2009
insider trading,4,2009
klebsiella pneumoniae,4,2009
microarray,4,2009
optimization,4,2009
schizophrenia,4,2009
silicon nanowire,4,2009
solar cell,4,2009
wireless sensor network,4,2009
二氧化鈦,4,2009
企業社會責任,4,2009
併購,4,2009
共同基金,4,2009
平衡計分卡,4,2009
幾丁聚醣,4,2009
數值模擬,4,2009
晶片網路,4,2009
氣喘,4,2009
精神分裂症,4,2009
資料探勘,4,2009
accelerometer,3,2009
acetaminophen,3,2009
arabidopsis thaliana,3,2009
balanced scorecard,3,2009
business model,3,2009
b型肝炎病毒,3,2009
china steel,3,2009
cmos,3,2009
computer program,3,2009
credit risk,3,2009
diabetes mellitus,3,2009
dye-sensitized solar cell,3,2009
fiber bragg grating,3,2009
fuel cell,3,2009
gps,3,2009
helicobacter pylori,3,2009
hepatitis b virus,3,2009
ldpc,3,2009
led,3,2009
mems,3,2009
national health insurance,3,2009
network-on-chip,3,2009
object tracking,3,2009
papaya,3,2009
patent infringement,3,2009
pemfc,3,2009
project management,3,2009
reliability,3,2009
sfas no.159,3,2009
"sfas no.159,fair value option",3,2009
"sfas no.159,fair value option,inf...",3,2009
simulation,3,2009
snake robot,3,2009
social network,3,2009
solar cells,3,2009
solenopsis invicta,3,2009
stroke,3,2009
surface plasmon,3,2009
tft-lcd,3,2009
tio2,3,2009
tomography,3,2009
zigbee,3,2009
低密度奇偶校驗碼,3,2009
信用風險,3,2009
兆赫波,3,2009
克雷伯氏肺炎桿菌,3,2009
內線交易,3,2009
全球化,3,2009
全球衛星定位系統,3,2009
國際會計準則,3,2009
基因演算法,3,2009
實質選擇權,3,2009
布拉格光纖光柵,3,2009
微機電,3,2009
智慧型手機,3,2009
最佳化,3,2009
有機太陽能電池,3,2009
果蠅,3,2009
"氧化鋅,薄膜電晶體",3,2009
液晶,3,2009
無線網狀網路,3,2009
無線網路,3,2009
無線隨意網路,3,2009
第一原理,3,2009
太陽能電池,6,2010
雲端運算,6,2010
arabidopsis,5,2010
bot,5,2010
climate change,5,2010
cloud computing,5,2010
corporate governance,5,2010
database marketing,5,2010
ingan,5,2010
oral cancer,5,2010
併購,5,2010
口腔癌,5,2010
斑馬魚,5,2010
氣候變遷,5,2010
氮化銦鎵,5,2010
水稻,5,2010
砷,5,2010
細胞凋亡,5,2010
肝癌,5,2010
資料庫行銷,5,2010
資訊不對稱,5,2010
量子點,5,2010
阿茲海默症,5,2010
arsenic,4,2010
business model,4,2010
cdo,4,2010
face recognition,4,2010
information asymmetry,4,2010
non-profit organization,4,2010
regulatory focus,4,2010
scm,4,2010
silicon nanowire field-effect tra...,4,2010
solar cells,4,2010
stroke,4,2010
supply chain management,4,2010
wireless sensor network,4,2010
中國,4,2010
人臉辨識,4,2010
供應鏈管理,4,2010
地理資訊系統,4,2010
擔保債權憑證,4,2010
東海,4,2010
糖尿病,4,2010
細胞自噬,4,2010
表面電漿,4,2010
調節焦點,4,2010
質子交換膜燃料電池,4,2010
電動車,4,2010
非營利組織,4,2010
類比數位轉換器,4,2010
aedes aegypti,3,2010
air pollution,3,2010
apoptosis,3,2010
asthma,3,2010
autophagy,3,2010
biodiesel,3,2010
chitosan,3,2010
cognitive radio networks,3,2010
corporate social responsibility,3,2010
customer relationship management,3,2010
dementia,3,2010
depression,3,2010
earthquake,3,2010
east china sea,3,2010
eb病毒,3,2010
electric vehicle,3,2010
femtocell,3,2010
haloarcula marismortui,3,2010
hcv,3,2010
helicobacter pylori,3,2010
ifrs,3,2010
market efficiency,3,2010
market risk,3,2010
mesoporous,3,2010
microarray,3,2010
micronization,3,2010
